Dataset,Soil_Type,Image_Path,Detected_Tone,pH Range,Temperature (°C),Humidity (%),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg),Crop_Recommendations,Fertilizer_Recommendations,Weather_Based_Crop_Recommendation,Season_Based_Crop_Recommendation,Current_Season,Current_Temperature(°C),Current_Humidity(%),Weather_Description,Nitrogen (mg/kg)_min,Nitrogen (mg/kg)_max,Phosphorus (mg/kg)_min,Phosphorus (mg/kg)_max,Potassium (mg/kg)_min,Potassium (mg/kg)_max,pH Range_min,pH Range_max
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\alluvial-soils-ricker-2primefarmland-1200x675-1.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_1.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_10.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_11.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_12 - Copy.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_12.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_13.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_14.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_15.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_16 - Copy.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_16.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_17.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_18 - Copy.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_18.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_19.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_2.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_20.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_21.jpg,Brownish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Vermicompost",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_22.jpg,Brownish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Vermicompost",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_23.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_24.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_25.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_26.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_27.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_28.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_29.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_3.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_30.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_31.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_32.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_33.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_34 - Copy.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_34.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_35 - Copy.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_35.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_36.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_37.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_38 - Copy.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_38.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_39.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_4.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_40.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
train,Alluvial soil,C:\Users\Pranjal Yallurkar\OneDrive\Desktop\PROJECT\Final\soil_photos-20251020T144319Z-1-001\soil_photos\train\Alluvial soil\Alluvial_41.jpg,Reddish,6.5–7.5,25–35,60–80,280–450,40–60,300–450,"Rice, Wheat, Maize, Sugarcane, Pulses","DAP, Compost, NPK, Urea, Biofertilizer",maize,"Wheat, Mustard, Barley, Peas, Gram",Winter,28.07,44,haze,280.0,450.0,40.0,60.0,300.0,450.0,6.5,7.5
